Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Id,canonical_Source,canonical_Site name,canonical_Address,canonical_Zip,canonical_Phone,canonical_Fax,canonical_Program Name,canonical_Length of Day,canonical_IDHS Provider ID,canonical_Agency,canonical_Neighborhood,canonical_Funded Enrollment,canonical_Program Option,canonical_Number per Site EHS,canonical_Number per Site HS,canonical_Director,canonical_Head Start Fund,canonical_Eearly Head Start Fund,canonical_CC fund,canonical_Progmod,canonical_Website,canonical_Executive Director,canonical_Center Director,canonical_ECE Available Programs,canonical_NAEYC Valid Until,canonical_NAEYC Program Id,canonical_Email Address,canonical_Ounce of Prevention Description,canonical_Purple binder service type,canonical_Column,canonical_Column2
5,0.9681744575500488,10,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'478',b'cps_early_childhood_portal_scrape.csv',b'hull house association - child dev. central office- hull house cds-homes',b'1030 w van buren st',b'',b'9068600',b'',b'child care',b'extended day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
6,0.9607781171798706,11,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'12',b'cps_early_childhood_portal_scrape.csv',b'catholic charities of the archdiocese of chicago - st. kevin',b'10509 s torrence ave',b'60617',b'3746466',b'',b'child care',b'extended day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care'
6,0.9607781171798706,12,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'12',b'cps_early_childhood_portal_scrape.csv',b'catholic charities of the archdiocese of chicago - st. kevin',b'10509 s torrence ave',b'60617',b'3746466',b'',b'child care',b'extended day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care'
7,0.628421276807785,13,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Community Learning Center,10612 S Wentworth ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'13',b'cps_early_childhood_portal_scrape.csv',b'community learning center',b'10612 s wentworth',b'60628',b'9284104',b'',b'child care',b'extended day',b'',b'',b'',b'community learning center',b'roseland',b'',b'',b'',b'',b'wanda avery',b'yes',b'no',b'no',b'',b'',b'wanda avery',b'wanda avery',b'',b'',b'',b'',b'',b'child care'
8,0.9181100811277118,14,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'14',b'cps_early_childhood_portal_scrape.csv',b'catholic charities of the archdiocese of chicago - cordia marian',b'1100 s may st',b'60607',b'6663787',b'',b'child care',b'extended day',b'',b'',b'near west side',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'cp',b'',b'',b'',b'',b'',b'',b'child care'
8,0.9181100811277118,15,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'14',b'cps_early_childhood_portal_scrape.csv',b'catholic charities of the archdiocese of chicago - cordia marian',b'1100 s may st',b'60607',b'6663787',b'',b'child care',b'extended day',b'',b'',b'near west side',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'cp',b'',b'',b'',b'',b'',b'',b'child care'
9,0.6762531280517579,16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'228',b'cps_early_childhood_portal_scrape.csv',"b""thresholds mothers' project""",b'1110 w belmont',b'60657',b'4720328',b'',b'child care',b'extended day',b'',b'',b'lake view',b'thresholds',b'lake view',b'',b'',b'',b'',b'marshelia harris',b'no',b'no',b'no',"b'2535it(child care it center), 2535ps(child care ps center),'",b'',b'cp',b'',b'',b'',b'',b'',b'',b'child care'
10,0.8926122685273489,17,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'17',b'cps_early_childhood_portal_scrape.csv',b'bethel new life',b'1120 n lamon',b'60651',b'6267760',b'',b'child care',b'half day/full day',b'',b'',b'austin',b'mary crane league',b'austin',b'',b'',b'',b'',b'',b'yes',b'yes',b'yes',"b'4372it(child care it center), 4372ps(child care ps center),'",b'',b'cp',b'',b'',b'',b'',b'',b'',b'child care'
11,0.9681744575500488,18,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'18',b'cps_early_childhood_portal_scrape.csv',b'south east asia center - south-east asia center(ainslie)',b'1124 w ainslie st',b'',b'9897433',b'',b'state pre-kindergarten',b'part day/full day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
12,0.9387708504994711,19,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1235',b'cps_early_childhood_portal_scrape.csv',b'ada s. mckinley community services - mckinley - roseland',b'11410 s edbrooke',b'60628',b'4681918',b'',b'child care',b'half day/full day',b'',b'',b'',b'ada s. mckinley community services',b'roseland',b'',b'',b'',b'',b'anna luna',b'yes',b'no',b'no',b'7021ps(hs collaboration with childcare)',b'www.adasmckinley.org',"b'george jones, jr.'",b'anna luna',b'',b'',b'',b'',b'',b'child care'
12,0.9387708504994711,20,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1235',b'cps_early_childhood_portal_scrape.csv',b'ada s. mckinley community services - mckinley - roseland',b'11410 s edbrooke',b'60628',b'4681918',b'',b'child care',b'half day/full day',b'',b'',b'',b'ada s. mckinley community services',b'roseland',b'',b'',b'',b'',b'anna luna',b'yes',b'no',b'no',b'7021ps(hs collaboration with childcare)',b'www.adasmckinley.org',"b'george jones, jr.'",b'anna luna',b'',b'',b'',b'',b'',b'child care'
13,0.7391947408517201,21,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave ,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'21',b'cps_early_childhood_portal_scrape.csv',b'board trustees-city colleges of chicago truman college',b'1145 w. wilson ave',b'60640',b'8784740',b'',b'community partnerships',"b'8-11 hours, varies by facility'",b'',b'',b'uptown',b'board trustees-city colleges of chicago',b'uptown',b'',b'',b'',b'',b'judi gibian-mennenga',b'yes',b'no',b'no',"b'7099ps(hs collaboration with childcare & prek), 4386ps(child'",b'www.ccc.edu',b'phyllis daniels-ward',b'dexter smith',b'',b'',b'',b'',b'',b'child care'
14,0.8875397592782974,22,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'23',b'cps_early_childhood_portal_scrape.csv',b'chicago state university - gingerbread house',b'11640 s wentworth ave',b'',b'9284041',b'',b'child care',b'extended day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
14,0.8875397592782974,23,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'23',b'cps_early_childhood_portal_scrape.csv',b'chicago state university - gingerbread house',b'11640 s wentworth ave',b'',b'9284041',b'',b'child care',b'extended day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
15,0.9681744575500488,24,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'24',b'cps_early_childhood_portal_scrape.csv',b'chicago state university - academy of early education',b'124 e 113th st',b'',b'7858163',b'',b'child care',b'extended day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
15,0.9681744575500488,25,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'24',b'cps_early_childhood_portal_scrape.csv',b'chicago state university - academy of early education',b'124 e 113th st',b'',b'7858163',b'',b'child care',b'extended day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
16,0.8855689167976379,26,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St ,,4930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'26',b'cps_early_childhood_portal_scrape.csv',b'easter seals society of metropolitan chicago - stepping stones early/childhood lear',b'1300 e 75th st',b'60619',b'4930000',b'',b'community partnerships',"b'8-11 hours, varies by facility'",b'',b'',b'',b'ada s. mckinley community services',b'south shore',b'',b'',b'',b'',b'dr. jones',b'yes',b'no',b'no',b'',b'www.adasmckinley.org',"b'george jones, jr.'",b'dr. nelda jones',b'',b'',b'',b'',b'',b''
17,0.9380025405150193,27,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'28',b'cps_early_childhood_portal_scrape.csv',b'marcy newberry association - fosco abla center',b'1312 s racine',b'60608',b'7466024',b'',b'head start',b'half day/full day',b'',b'',b'',b'marcy newberry association',b'near west side',b'',b'',b'',b'',b'kimberly johnson',b'yes',b'yes',b'no',"b'4195it(child care it center), 7086ps (hs collaboration with'",b'www.marcy-newberry.org',b'gertrude ricks',b'kimberly johnson',b'',b'',b'',b'',b'',b'early head start'
17,0.9380025405150193,28,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'28',b'cps_early_childhood_portal_scrape.csv',b'marcy newberry association - fosco abla center',b'1312 s racine',b'60608',b'7466024',b'',b'head start',b'half day/full day',b'',b'',b'',b'marcy newberry association',b'near west side',b'',b'',b'',b'',b'kimberly johnson',b'yes',b'yes',b'no',"b'4195it(child care it center), 7086ps (hs collaboration with'",b'www.marcy-newberry.org',b'gertrude ricks',b'kimberly johnson',b'',b'',b'',b'',b'',b'early head start'
18,0.7935016602277756,29,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave ,,2764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'29',b'cps_early_childhood_portal_scrape.csv',b'salvation army incarnation',b'1345 n karlov',b'60651',b'2764118',b'',b'child care',b'extended day',b'',b'',b'',b'salvation army',b'humboldt park',b'',b'',b'',b'',b'zoraida fernandini',b'yes',b'no',b'no',b'',b'www.usc.salvationarmy.com',b'claudia rowland',b'zoraida fernandini',b'',b'03/31/15',b'344640',b'elsa_galan@usc.salvationarmy.org',b'',b''
19,0.9526000618934631,30,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'30',b'cps_early_childhood_portal_scrape.csv',b'abraham lincoln centre - hope presbyterian church',b'1354 w 61st st',b'60636',b'4715100',b'',b'child care',b'half day/full day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care'
20,0.886712751605294,31,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'32',b'cps_early_childhood_portal_scrape.csv',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'1449 s keeler',b'60623',b'5213126',b'',b'child care',b'half day/full day',b'',b'',b'north lawndale',b'catholic charities of the archdiocese of chicago',b'north lawndale',b'',b'',b'',b'',"b""deborah o'brien""",b'yes',b'no',b'yes',"b'2488it(child care it center), 7030ps(hs collaboration with c'",b'www.catholiccharities.net',b'cp',"b""deborah o'brien""",b'',b'',b'',b'',b'',b'child care'
20,0.886712751605294,32,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'32',b'cps_early_childhood_portal_scrape.csv',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'1449 s keeler',b'60623',b'5213126',b'',b'child care',b'half day/full day',b'',b'',b'north lawndale',b'catholic charities of the archdiocese of chicago',b'north lawndale',b'',b'',b'',b'',"b""deborah o'brien""",b'yes',b'no',b'yes',"b'2488it(child care it center), 7030ps(hs collaboration with c'",b'www.catholiccharities.net',b'cp',"b""deborah o'brien""",b'',b'',b'',b'',b'',b'child care'
21,0.8528328239917755,33,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave ,,2371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'2226',b'cps_early_childhood_portal_scrape.csv',b'lutheran social services north austin',b'1500 n mason',b'60651',b'2371930',b'',b'community partnerships',"b'8-11 hours, varies by facility'",b'',b'',b'austin',b'lutheran social services of illinois',b'austin',b'',b'',b'',b'',b'doris holden',b'yes',b'no',b'no',"b'4115it(child care it center), 7015ps(hs collaboration with c'",b'www.lssi.org',b'john schnier',b'doris holden',b'',b'',b'',b'',b'',b'child care'
22,0.96817446,34,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'34',b'cps_early_childhood_portal_scrape.csv',b'marcy newberry association - new birth',b'1500 w 69th st',b'',b'4710699',b'',b'child care',b'extended day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
23,0.8707994719346365,35,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,2785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'35',b'cps_early_childhood_portal_scrape.csv',b'chicago youth centers - mt. moriah-taylor',b'1501 n harding',b'60651',b'2785837',b'',b'community partnerships',"b'8-11 hours, varies by facility'",b'',b'',b'humboldt park',b'chicago youth centers',b'humboldt park',b'',b'',b'',b'',b'elizabeth heilbronn',b'yes',b'no',b'no',b'7065ps(hs collaboration with childcare & prek)',b'www.chicagoyouthcenters.org',b'harry wells',b'elizabeth heilbronn',b'',b'',b'',b'',b'',b'child care'
24,0.9296627591053644,36,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'37',b'cps_early_childhood_portal_scrape.csv',b'marcy newberry association - marcy center',b'1539 s springfield',b'60623',b'7612300',b'',b'state pre-kindergarten',b'half day/full day',b'',b'',b'north lawndale',b'marcy newberry association',b'north lawndale',b'',b'',b'',b'',b'barbara tucker',b'yes',b'no',b'yes',"b'2751it(child care it center), 7135ps(hs collaboration with c'",b'www.marcy-newberry.org',b'gertrude ricks',b'barbara tucker',b'',b'',b'',b'',b'',b'child care'
24,0.9296627591053644,37,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'37',b'cps_early_childhood_portal_scrape.csv',b'marcy newberry association - marcy center',b'1539 s springfield',b'60623',b'7612300',b'',b'state pre-kindergarten',b'half day/full day',b'',b'',b'north lawndale',b'marcy newberry association',b'north lawndale',b'',b'',b'',b'',b'barbara tucker',b'yes',b'no',b'yes',"b'2751it(child care it center), 7135ps(hs collaboration with c'",b'www.marcy-newberry.org',b'gertrude ricks',b'barbara tucker',b'',b'',b'',b'',b'',b'child care'
25,0.8754353761672974,38,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - Morse,1545 W Morse Ave ,,2621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'38',b'cps_early_childhood_portal_scrape.csv',b'mary crane league mary crane center (morse)',b'1545 w morse',b'60626',b'2621390',b'',b'community partnerships',"b'8-11 hours, varies by facility'",b'',b'',b'',b'mary crane league',b'rogers park',b'',b'',b'',b'',b'guadalupe herrera',b'yes',b'no',b'no',b'4270ps(hs collaboration with childcare & prek)',b'www.marycrane.org',b'lavetter terry',b'traci medina',b'',b'',b'',b'',b'',b'child care'
26,0.9094775915145874,39,CPS_Early_Childhood_Portal_scrape.csv, South Shore Bible - Maranatha,1631 E 71st St ,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'39',b'cps_early_childhood_portal_scrape.csv',b'salvation army south shore bible/maranatha head start',b'1631 e 71st st',b'60649',b'4937500',b'',b'child care',b'extended day',b'',b'',b'',b'salvation army',b'south shore',b'',b'',b'',b'',b'jaqueline carter',b'yes',b'no',b'no',b'4380ps(hs collaboration with childcare)',b'www.usc.salvationarmy.com',b'claudia rowland',b'jaqueline carter',b'',b'',b'',b'',b'',b'child care'
